Hero_Role,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Pudge_softsup,-0.00012732872,-0.011449057,-0.0060013854,0.007126426,-0.005743693,0.0054403655,-0.0010156545,0.00037020852,0.0058797156,0.00913885,-0.009400589,-0.0032761218,-0.0069852336,-0.0048885094,0.008908242,0.009428448
Pudge_hardsup,-1.144307e-24,-2.3340891e-24,-6.1342625e-24,3.442042e-24,3.4716851e-25,2.903788e-24,-4.4480277e-24,-6.709083e-26,6.948982e-24,1.5868489e-24,-2.6694257e-25,-5.1971923e-24,1.3513427e-24,-2.3954703e-25,7.6112623e-25,1.6136599e-24
Pudge_carry,-5.275579e-25,-4.384901e-25,-1.4669573e-24,3.5667394e-25,-1.4667491e-24,-2.3914815e-24,-6.66052e-24,1.2809488e-24,-2.0367827e-25,-5.2528433e-24,1.3426235e-25,2.3430922e-24,-3.2903305e-25,1.9662342e-24,1.3339565e-24,-8.6309457e-26
Razor_mid,-0.0010800884,0.00550995,-0.00043666322,-0.0012025567,-0.00016895068,-0.0022617234,-0.0026605234,0.007050551,-0.0011395026,0.0027509562,0.0034071757,0.0033620547,0.0011606661,-0.0020569821,-0.0016993603,0.0005594727
Razor_offlane,-0.0011262817,0.0061508464,-0.0027915,-0.0014385461,-0.0023531818,-0.0034530526,-0.003906744,0.009129174,0.0015086682,0.0053239544,0.0010188512,0.0030420313,0.0016269329,-0.004854161,-0.00076808955,0.0007718167
Razor_softsup,-3.827867e-24,-5.9791057e-25,3.05134e-24,-5.6368174e-25,-1.4571697e-24,3.9465267e-24,1.4027973e-23,1.3017964e-24,-1.2230776e-25,-1.4850721e-24,-1.7528164e-24,1.0932976e-24,-5.1240243e-25,-1.19683265e-26,1.1551361e-24,-3.3359464e-24
Razor_hardsup,6.4113097e-25,4.713096e-24,3.4537617e-25,2.0468909e-25,-1.2591682e-24,-5.0472334e-24,-1.926943e-24,-6.2922307e-26,-8.05949e-25,2.7892605e-24,4.686605e-25,-4.729584e-25,1.869611e-25,9.377956e-24,1.946098e-24,1.923665e-24
Razor_carry,2.3951931e-24,8.2129896e-25,-1.919474e-24,-1.9036751e-25,4.258992e-25,3.3471317e-24,5.704668e-24,2.8307775e-24,1.4419517e-24,-2.9116537e-24,-8.696156e-27,-3.562266e-24,5.5418144e-25,3.6241848e-25,-9.5820504e-24,-1.1765935e-24
Sand King_mid,1.2568795e-24,5.420571e-25,-1.8014958e-24,-3.3266301e-25,-4.0598697e-25,-2.0336964e-24,7.522967e-26,-2.3923422e-24,7.03799e-25,-1.4042207e-25,-5.6467508e-24,9.584879e-25,2.1606092e-25,3.4655567e-25,1.7755612e-24,-1.3889737e-24
Sand King_offlane,-0.0018956204,0.0011517016,0.0018415207,0.0005769443,0.0042660674,-0.0015535792,0.0006019967,0.0028968772,0.0039930553,0.0005548459,0.00042638183,0.0028191153,-0.001003788,-0.00026284577,-0.0012539651,0.001544747
